date_ny,instrument,asia_high,asia_low,first_sweep_side,first_sweep_time_ny,reentry_time_ny,double_sweep,day_class
2025-09-08,EUR_USD,,,,,,,ERROR
2025-09-09,EUR_USD,,,,,,,ERROR
2025-09-10,EUR_USD,,,,,,,ERROR
2025-09-11,EUR_USD,,,,,,,ERROR
2025-09-12,EUR_USD,,,,,,,ERROR
2025-09-15,EUR_USD,,,,,,,ERROR
2025-09-16,EUR_USD,,,,,,,ERROR
2025-09-17,EUR_USD,,,,,,,ERROR
2025-09-18,EUR_USD,,,,,,,ERROR
2025-09-19,EUR_USD,,,,,,,ERROR
2025-09-22,EUR_USD,,,,,,,ERROR
2025-09-23,EUR_USD,,,,,,,ERROR
2025-09-24,EUR_USD,,,,,,,ERROR
2025-09-25,EUR_USD,,,,,,,ERROR
2025-09-26,EUR_USD,,,,,,,ERROR
2025-09-29,EUR_USD,,,,,,,ERROR
2025-09-30,EUR_USD,,,,,,,ERROR
2025-10-01,EUR_USD,,,,,,,ERROR
2025-10-02,EUR_USD,,,,,,,ERROR
2025-10-03,EUR_USD,,,,,,,ERROR
2025-10-06,EUR_USD,,,,,,,ERROR
2025-10-07,EUR_USD,,,,,,,ERROR
2025-10-08,EUR_USD,,,,,,,ERROR
2025-10-09,EUR_USD,,,,,,,ERROR
2025-10-10,EUR_USD,,,,,,,ERROR
2025-10-13,EUR_USD,,,,,,,ERROR
2025-10-14,EUR_USD,,,,,,,ERROR
2025-10-15,EUR_USD,,,,,,,ERROR
2025-10-16,EUR_USD,,,,,,,ERROR
2025-10-17,EUR_USD,,,,,,,ERROR
2025-10-20,EUR_USD,,,,,,,ERROR
2025-10-21,EUR_USD,,,,,,,ERROR
2025-10-22,EUR_USD,,,,,,,ERROR
2025-10-23,EUR_USD,,,,,,,ERROR
2025-10-24,EUR_USD,,,,,,,ERROR
2025-10-27,EUR_USD,,,,,,,ERROR
2025-10-28,EUR_USD,,,,,,,ERROR
2025-10-29,EUR_USD,,,,,,,ERROR
2025-10-30,EUR_USD,,,,,,,ERROR
2025-10-31,EUR_USD,,,,,,,ERROR
2025-11-03,EUR_USD,,,,,,,ERROR
2025-11-04,EUR_USD,,,,,,,ERROR
2025-11-05,EUR_USD,,,,,,,ERROR
2025-11-06,EUR_USD,,,,,,,ERROR
2025-11-07,EUR_USD,,,,,,,ERROR
2025-11-10,EUR_USD,,,,,,,ERROR
2025-11-11,EUR_USD,,,,,,,ERROR
2025-11-12,EUR_USD,,,,,,,ERROR
2025-11-13,EUR_USD,,,,,,,ERROR
2025-11-14,EUR_USD,,,,,,,ERROR
2025-11-17,EUR_USD,,,,,,,ERROR
2025-11-18,EUR_USD,,,,,,,ERROR
2025-11-19,EUR_USD,,,,,,,ERROR
2025-11-20,EUR_USD,,,,,,,ERROR
2025-11-21,EUR_USD,,,,,,,ERROR
2025-11-24,EUR_USD,,,,,,,ERROR
2025-11-25,EUR_USD,,,,,,,ERROR
2025-11-26,EUR_USD,,,,,,,ERROR
2025-11-27,EUR_USD,,,,,,,ERROR
2025-11-28,EUR_USD,,,,,,,ERROR
2025-12-01,EUR_USD,,,,,,,ERROR
2025-12-02,EUR_USD,,,,,,,ERROR
2025-12-03,EUR_USD,,,,,,,ERROR
2025-12-04,EUR_USD,,,,,,,ERROR
2025-12-05,EUR_USD,,,,,,,ERROR
2025-12-08,EUR_USD,,,,,,,ERROR
2025-12-09,EUR_USD,,,,,,,ERROR
2025-12-10,EUR_USD,,,,,,,ERROR
2025-12-11,EUR_USD,,,,,,,ERROR
2025-12-12,EUR_USD,,,,,,,ERROR
2025-12-15,EUR_USD,,,,,,,ERROR
2025-12-16,EUR_USD,,,,,,,ERROR
2025-12-17,EUR_USD,,,,,,,ERROR
2025-12-18,EUR_USD,,,,,,,ERROR
2025-12-19,EUR_USD,,,,,,,ERROR
2025-12-22,EUR_USD,,,,,,,ERROR
2025-12-23,EUR_USD,,,,,,,ERROR
2025-12-24,EUR_USD,,,,,,,ERROR
2025-12-25,EUR_USD,,,,,,,ERROR
2025-12-26,EUR_USD,,,,,,,ERROR
2025-12-29,EUR_USD,,,,,,,ERROR
2025-12-30,EUR_USD,,,,,,,ERROR
2025-12-31,EUR_USD,,,,,,,ERROR
2026-01-01,EUR_USD,,,,,,,ERROR
2026-01-02,EUR_USD,,,,,,,ERROR
2026-01-05,EUR_USD,,,,,,,ERROR
2026-01-06,EUR_USD,,,,,,,ERROR
